sensors 30
relays 292
cost 32 100
cost 33 100
cost 34 100
cost 35 100
cost 36 100
cost 37 100
cost 38 100
cost 39 100
cost 40 100
cost 41 100
cost 42 100
cost 43 100
cost 44 100
cost 45 100
cost 46 100
cost 47 100
cost 48 100
cost 49 100
cost 50 100
cost 51 100
cost 52 100
cost 53 100
cost 54 100
cost 55 100
cost 56 100
cost 57 100
cost 58 100
cost 59 100
cost 60 100
cost 61 100
cost 62 100
cost 63 100
cost 64 100
cost 65 100
cost 66 100
cost 67 100
cost 68 100
cost 69 100
cost 70 100
cost 71 100
cost 72 100
cost 73 100
cost 74 100
cost 75 100
cost 76 100
cost 77 100
cost 78 100
cost 79 100
cost 80 100
cost 81 100
cost 82 100
cost 83 100
cost 84 100
cost 85 100
cost 86 100
cost 87 100
cost 88 100
cost 89 100
cost 90 100
cost 91 100
cost 92 100
cost 93 100
cost 94 100
cost 95 100
cost 96 100
cost 97 100
cost 98 100
cost 99 100
cost 100 100
cost 101 100
cost 102 100
cost 103 100
cost 104 100
cost 105 100
cost 106 100
cost 107 100
cost 108 100
cost 109 100
cost 110 100
cost 111 100
cost 112 100
cost 113 100
cost 114 100
cost 115 100
cost 116 100
cost 117 100
cost 118 100
cost 119 100
cost 120 100
cost 121 100
cost 122 100
cost 123 100
cost 124 100
cost 125 100
cost 126 100
cost 127 100
cost 128 100
cost 129 100
cost 130 100
cost 131 100
cost 132 100
cost 133 100
cost 134 100
cost 135 100
cost 136 100
cost 137 100
cost 138 100
cost 139 100
cost 140 100
cost 141 100
cost 142 100
cost 143 100
cost 144 100
cost 145 100
cost 146 100
cost 147 100
cost 148 100
cost 149 100
cost 150 100
cost 151 100
cost 152 100
cost 153 100
cost 154 100
cost 155 100
cost 156 100
cost 157 100
cost 158 100
cost 159 100
cost 160 100
cost 161 100
cost 162 100
cost 163 100
cost 164 100
cost 165 100
cost 166 100
cost 167 100
cost 168 100
cost 169 100
cost 170 100
cost 171 100
cost 172 100
cost 173 100
cost 174 100
cost 175 100
cost 176 100
cost 177 100
cost 178 100
cost 179 100
cost 180 100
cost 181 100
cost 182 100
cost 183 100
cost 184 100
cost 185 100
cost 186 100
cost 187 100
cost 188 100
cost 189 100
cost 190 100
cost 191 100
cost 192 100
cost 193 100
cost 194 100
cost 195 100
cost 196 100
cost 197 100
cost 198 100
cost 199 100
cost 200 100
cost 201 100
cost 202 100
cost 203 100
cost 204 100
cost 205 100
cost 206 100
cost 207 100
cost 208 100
cost 209 100
cost 210 100
cost 211 100
cost 212 100
cost 213 100
cost 214 100
cost 215 100
cost 216 100
cost 217 100
cost 218 100
cost 219 100
cost 220 100
cost 221 100
cost 222 100
cost 223 100
cost 224 100
cost 225 100
cost 226 100
cost 227 100
cost 228 100
cost 229 100
cost 230 100
cost 231 100
cost 232 100
cost 233 100
cost 234 100
cost 235 100
cost 236 100
cost 237 100
cost 238 100
cost 239 100
cost 240 100
cost 241 100
cost 242 100
cost 243 100
cost 244 100
cost 245 100
cost 246 100
cost 247 100
cost 248 100
cost 249 100
cost 250 100
cost 251 100
cost 252 100
cost 253 100
cost 254 100
cost 255 100
cost 256 100
cost 257 100
cost 258 100
cost 259 100
cost 260 100
cost 261 100
cost 262 100
cost 263 100
cost 264 100
cost 265 100
cost 266 100
cost 267 100
cost 268 100
cost 269 100
cost 270 100
cost 271 100
cost 272 100
cost 273 100
cost 274 100
cost 275 100
cost 276 100
cost 277 100
cost 278 100
cost 279 100
cost 280 100
cost 281 100
cost 282 100
cost 283 100
cost 284 100
cost 285 100
cost 286 100
cost 287 100
cost 288 100
cost 289 100
cost 290 100
cost 291 100
cost 292 100
cost 293 100
cost 294 100
cost 295 100
cost 296 100
cost 297 100
cost 298 100
cost 299 100
cost 300 100
cost 301 100
cost 302 100
cost 303 100
cost 304 100
cost 305 100
cost 306 100
cost 307 100
cost 308 100
cost 309 100
cost 310 100
cost 311 100
cost 312 100
cost 313 100
cost 314 100
cost 315 100
cost 316 100
cost 317 100
cost 318 100
cost 319 100
cost 320 100
cost 321 100
cost 322 100
cost 323 100
e 2 17 89.4 122880 1.16970175283682e-07 5e-08
e 2 18 89.6 122880 6.64285383274337e-08 5e-08
e 2 33 88.5 122880 6.00409452558702e-08 5e-08
e 2 34 89.7 122880 5.80599952961313e-08 5e-08
e 2 35 89.8 122880 8.99961872975023e-08 5e-08
e 2 37 89.7 122880 6.74601380955265e-08 5e-08
e 2 38 89.7 122880 9.96828137402398e-08 5e-08
e 2 41 89.2 122880 3.09145508755334e-07 5e-08
e 2 90 88.6 122880 7.74063648096043e-08 5e-08
e 2 182 89.8 122880 2.77576618992319e-07 5e-08
e 2 206 89.5 122880 1.21462942839924e-07 5e-08
e 3 35 89.6 122880 1.08051984898043e-07 5e-08
e 3 36 89.9 122880 1.22743619977818e-07 5e-08
e 3 38 89.8 122880 9.11764310609575e-08 5e-08
e 3 41 89.4 122880 9.19634273582338e-08 5e-08
e 3 44 89 122880 1.26504087985842e-07 5e-08
e 4 8 88.6 122880 2.50347183500462e-07 5e-08
e 4 16 89.9 122880 3.6839841857572e-07 5e-08
e 4 41 89.6 122880 1.10545998057212e-07 5e-08
e 4 42 86.8 122880 6.55282321157132e-08 5e-08
e 4 43 86.2 122880 5.67194875892221e-08 5e-08
e 4 44 86.1 122880 6.44744204682318e-08 5e-08
e 4 58 86.3 122880 1.36742025298335e-07 5e-08
e 4 59 86.4 122880 8.13469422035425e-08 5e-08
e 4 60 87.2 122880 8.85370088878363e-08 5e-08
e 4 61 88.1 122880 1.3085791730618e-07 5e-08
e 4 63 87.5 122880 8.94845151549459e-08 5e-08
e 4 64 88.4 122880 1.21104119602741e-07 5e-08
e 4 291 89.8 122880 4.727148652797e-07 5e-08
e 4 300 88.2 122880 9.73518586506474e-08 5e-08
e 4 301 89.3 122880 1.81752262522265e-07 5e-08
e 5 113 88.4 122880 1.67316750080269e-07 5e-08
e 5 114 89.5 122880 1.16486973859796e-07 5e-08
e 5 115 89.3 122880 1.1911446389976e-07 5e-08
e 5 116 88 122880 2.22366776541829e-07 5e-08
e 5 118 87.3 122880 2.34553088070582e-07 5e-08
e 5 119 87.4 122880 1.90812501681726e-07 5e-08
e 5 120 87.6 122880 1.72283382857272e-07 5e-08
e 5 121 86.7 122880 1.05683478362433e-07 5e-08
e 5 122 86.1 122880 7.5089009868756e-08 5e-08
e 5 123 84.5 122880 5.80510825305379e-08 5e-08
e 5 124 85 122880 6.03105818796144e-08 5e-08
e 5 125 87.6 122880 1.91904924443947e-07 5e-08
e 5 126 88.1 122880 2.49052357397357e-07 5e-08
e 5 129 89.5 122880 1.03885799567476e-07 5e-08
e 5 130 88.3 122880 8.46531093430602e-08 5e-08
e 5 131 86.2 122880 7.23421080912441e-08 5e-08
e 5 304 89.4 122880 1.11492590231298e-07 5e-08
e 5 305 89.8 122880 1.92677991465243e-07 5e-08
e 6 7 84.2 122880 6.2953757024792e-08 5e-08
e 6 46 84.3 122880 6.99336721686082e-08 5e-08
e 6 47 86.2 122880 6.54321199155874e-08 5e-08
e 6 48 88.5 122880 1.16774607351748e-07 5e-08
e 6 49 89.2 122880 9.64223890819537e-08 5e-08
e 6 50 89.1 122880 1.75224503364292e-07 5e-08
e 6 54 87.4 122880 1.12094129910054e-07 5e-08
e 6 55 85.7 122880 6.6464295361098e-08 5e-08
e 6 294 86.2 122880 5.71876310255336e-08 5e-08
e 6 317 89.9 122880 3.06688389675282e-07 5e-08
e 6 318 88.8 122880 2.8844790053064e-07 5e-08
e 6 319 88.2 122880 2.18112095924113e-07 5e-08
e 6 320 88.2 122880 1.11039861843409e-07 5e-08
e 6 321 88.7 122880 1.15359396078927e-07 5e-08
e 7 6 84.2 122880 6.2953757024792e-08 5e-08
e 7 46 85.2 122880 8.64857959492088e-08 5e-08
e 7 47 85.6 122880 5.76354127467161e-08 5e-08
e 7 48 88.3 122880 8.6622303741829e-08 5e-08
e 7 49 87.9 122880 6.52898065219385e-08 5e-08
